Title,Genre,Length
Ang Kuwento ng Prinsesa at ang Nagsasalitang Ibon,Pabula,Long
Si Aling Rosa at ang Diwata ng Gubat,Kwentong Bayan,Long
Ang Alamat ng Luntiang Lambak,Alamat,Long
Si Amang Saging at ang Nawawalang Prinsipe,Kwentong Bayan,Long
Ang Kuwento ng Bundok Makiling at ang Prinsesang Naglaho,Alamat,Long
Si Juan at ang Pitong Higante,Kwentong Bayan,Long
Ang Lihim ng Sagingan ni Lola Basyang,Kwentong Bayan,Long
Si Maria at ang Mahiwagang Batis,Kwentong Bayan,Long
Ang Kuwento ng Isang Dakilang Bayani at ang Enkantadong Isla,Kwentong Bayan,Long
Si Pedro at ang Prinsesang Nakatira sa Bato,Kwentong Bayan,Long
Ang Kuwento ng Bayan ng Walang Hanggan,Kwentong Bayan,Long
Si Juan at ang Kabayong May Pakpak,Pabula,Long
Ang Kabayong May Pakpak,Alamat,Long
Si Maria at ang Nawawalang Kaharian sa Gubat,Kwentong Bayan,Long
Ang Pabula ng Matalas na Paningin ng Langgam,Pabula,Long
Ang Kwento ng Batang Usa at ang Matalinong Tigre,Pabula,Long
Ang Tarsier at ang Tamis ng Mangga,Pabula,Long
Ang Pusa na Naging Prinsesa,Pabula,Long
Ang Kuneho at ang Pagsasaka,Pabula,Long
Ang Tigre at ang Maliit na Ibon,Pabula,Long
Si Datu at ang Lihim ng Gubat,Kwentong Bayan,Long
Ang Batang Magsasaka at ang Mahiwagang Buto,Kwentong Bayan,Long
Si Liwanag at ang Kanyang Kaibigan,Kwentong Bayan,Long
Ang Pagsasama ng Mapagkait na Aso at Mapagbigay na Pusa,Pabula,Long
Alamat ng Bulaklak na Nagbigay ng Ngiti,Alamat,Long
Alamat ng Bituin na Tumulong sa mga Bata,Alamat,Long
Alamat ng Ulan na Naghatid ng Kaligayahan,Alamat,Long
Alamat ng Puno na Nagbibigay ng Pahinga,Alamat,Long
Alamat ng Ilog na Nagbigay ng Tulong sa mga Tao,Alamat,Long
Ang Kuneho at ang Bagong Kaalaman,Pabula,Long
Ang Lihim ng Mahiwagang Buwan,Kwentong Bayan,Long
Magkaibang Mundo,Kwentong Bayan,Long
Ang Ligalig ni Bulate,Pabula,Long
Ang Pasan-pasan ni Pagong,Pabula,Long
Ang Kwento ng Maliit na Kabayo,Pabula,Long
Ang Makakalimuting si Usa,Pabula,Long
Ang Munting Paglalakbay sa Kabundukan,Kwentong Bayan,Long
Ang Nakakahalinang Boses ni Ibon,Pabula,Long
Ang Diyamante sa Minahan,Kwentong Bayan,Long
Ang Sinisinta ni Buwaya,Pabula,Long
Ang Pagaspas ni Haring Agila,Pabula,Long
Ang Matatalas na Kuko ni Pusa,Pabula,Long
Ang Sakim na Bayan sa Nuevo,Kwentong Bayan,Long
Kwento ng Biyahe sa Kalesa,Kwentong Bayan,Long
Ang Buhay ay Tila Isang Gulong,Kwentong Bayan,Long
Ang Munting Bakasyon sa Probinsya,Kwentong Bayan,Long
Ang Kinang sa Kalangitan,Kwentong Bayan,Long
Isa sa Maraming Bundok ng Quezon,Kwentong Bayan,Long
Kutitap ng mga Bumbilya tuwing Kapaskuhan,Kwentong Bayan,Long
Makulay na Hardin ni Aling Pasing,Kwentong Bayan,Long
Ang Lengwahe ni Daga,Pabula,Long
Ang Mahiwagang Lapis,Kwentong Bayan,Long
Si Marga at ang Ilog,Kwentong Bayan,Long
Ang Matapat na Alalay,Kwentong Bayan,Long
Ang Matalinong Daga,Pabula,Long
Tindahan ni Aling Nena,Kwentong Bayan,Long
Ligaw na Pusa,Kwentong Bayan,Long
Ang Bisikleta,Kwentong Bayan,Long
Ang Prinsipe at ang Pulubi,Kwentong Bayan,Long
Pagsubok ng Pagkakaibigan,Kwentong Bayan,Long
Ang Gutom na Kuting,Kwentong Bayan,Long
Bayad ng Kalikasan,Kwentong Bayan,Long
Ang Tula ni Pilo,Kwentong Bayan,Long
Ang Nawalang Mahiwagang Suso,Kwentong Bayan,Long
Ang Tunay na Kaibigan,Kwentong Bayan,Long
Ang Matalinong Manok,Pabula,Long
Ang Makulit na Bata,Kwentong Bayan,Long
Ang Kuwintas ng Alaala,Kwentong Bayan,Long
Ang Masungit na Kapitbahay,Kwentong Bayan,Long
Ang Pagkakaintindihan ni Santi at Luis,Kwentong Bayan,Long
Ang Halaga ng Oras,Kwentong Bayan,Long
Ang Pusa na Nagtayo ng Tindahan,Pabula,Long
Si Buwitre at ang Mahiwagang Pagsubok,Pabula,Long
Ang Kambing na Naging Alkemista,Pabula,Long
Ang Kakaibang Gabi ng mga Ibon,Pabula,Long
Si Tarsier at ang Kanyang Mahiwagang Salamin,Pabula,Long
Ang Kuneho na Naging Guro Dahil sa Kaalaman,Pabula,Long
Ang Masayang Kaskasero at ang Kanyang Swerte,Kwentong Bayan,Long
Ang Ulan na Nagtago sa Ulap,Kwentong Bayan,Long
Ang Kwento ng Bituing Nawawala sa Gabi,Kwentong Bayan,Long
Si Aling Lira at ang Mahiwagang Kanta,Kwentong Bayan,Long
Ang Pangarap ni Lito at ang Gintong Kahon,Kwentong Bayan,Long
Si Rosa at ang Halaman ng Pangarap,Kwentong Bayan,Long
Ang Kakaibang Bagyong Dumaan sa Nayon,Kwentong Bayan,Long
Si Anghelito at ang mga Sulyap ng Kalikasan,Kwentong Bayan,Long
Ang Pagsasama ng Buwan at ng Araw,Alamat,Long
Alamat ng Mahiwagang Kubo sa Kagubatan,Alamat,Long
Alamat ng Ulan na Nagbigay ng Buhay,Alamat,Long
Ang Pagong na Nakatagpo ng Susi,Pabula,Long
Ang Pusa na Umakyat sa Bundok,Pabula,Long
Ang Mahiwagang Rosas at ang Kanyang Lihim,Kwentong Bayan,Long
Ang Matandang Lawa at ang Aswang,Kwentong Bayan,Long
Ang Alamat ng Ahas na May Ginintuang Mata,Alamat,Long
Ang Nawawalang Banga ng Diwata,Kwentong Bayan,Long
Ang Alamat ng Tatlong Bundok,Alamat,Long
Ang Duwendeng Nagmamalasakit,Kwentong Bayan,Long
Ang Alamat ng Matamis na Ubas,Alamat,Long
Ang Prinsipe at ang Mahiwagang Ibong Adarna,Alamat,Long
Ang Alamat ng Sinigang na Baboy,Alamat,Short
Ang Diwata ng Bundok Apo,Kwentong Bayan,Long
Ang Tatlong Prinsipe at ang Mahiwagang Pangarap,Kwentong Bayan,Long
 Ang Alamat ng Pista sa Parokya,Alamat,Long
Ang Batang si Nara at ang Mahiwagang Bangka,Kwentong Bayan,Long
Ang Alamat ng Dalawang Araw,Alamat,Long
Ang Alamat ng Singsing ng Kalapati,Alamat,Long
Ang Prinsesang Mangkukulam,Kwentong Bayan,Long
Ang Alamat ng Buwan at mga Tala,Alamat,Long
Ang Alamat ng Bahaghari,Alamat,Long
Ang Alamat ng Lawa ng Sampaloc,Alamat,Short
Ang Alamat ng Bulaklak ng Sampaguita,Alamat,Short
Ang Alamat ng Makopa,Alamat,Short
Si Mang Juan at ang Aso ng Lawa,Kwentong Bayan,Long
Ang Alamat ng Bundok Binintiang Malaki,Alamat,Short
Ang Prinsesang si Mayumi at ang Halamang Gamot,Kwentong Bayan,Short
Ang Mahiwagang Lira ni Amaya,Kwentong Bayan,Short
Ang Alamat ng Dalawang Ulap,Alamat,Short
Ang Alamat ng Puno ng Waling-Waling,Alamat,Long
Ang Alamat ng Tandang at ang Buwan,Alamat,Long
Ang Batang si Lakay at ang Higanteng Pagong,Kwentong Bayan,Short
Ang Mahiwagang Takip-Silim,Kwentong Bayan,Short
Ang Palaka at ang Nawawalang Sapa,Pabula,Short
Ang Sirenang Tagapagligtas ng Isla,Kwentong Bayan,Short
Ang Alamat ng Bulaklak ng Kalachuchi,Alamat,Short
Ang Alamat ng Paboreal,Alamat,Short
Ang Prinsipeng Isda at ang Mahiwagang Karagatan,Pabula,Short
Ang Alamat ng Buwan at ang Mga Tala,Alamat,Short
Ang Alamat ng Hiyas ng Dagat,Alamat,Long
Si Lolo Isko at ang Mahiwagang Bangka,Kwentong Bayan,Long
Ang Kuwento ng Inang Kalikasan at ang Apat na Elemento,Pabula,Long
Si Juan at ang Tatlong Pangako,Kwentong Bayan,Long
Ang Alamat ng Matandang Tulay,Alamat,Long
Si Tomas at ang Alitaptap na Gumagabay sa Dilim,Pabula,Long
Ang Nawawalang Reyno sa Ilalim ng Dagat,Kwentong Bayan,Long
Si Catalina at ang Kabibe ng Karagatan,Kwentong Bayan,Long
Ang Alamat ng Munting Halaman na Nagsasalita,Alamat,Long
Si Anito at ang Kapangyarihan ng Hangin,Pabula,Long
Ang Kuwento ng Lumang Bahay na Naghihintay,Pabula,Long
Si Miguel at ang Mga Bituing Nalaglag sa Lupa,Pabula,Long
Ang Mahiwagang Kampana ng Walang Sigla,Pabula,Long
Si Aling Pising at ang Haliging Ginto,Pabula,Long
Ang Alamat ng Batang Naging Ahas sa Gubat,Alamat,Long
Ang Pating na Nag-aral ng Musika,Pabula,Long
Ang Kuneho na Naglakbay sa mga Bituin,Pabula,Long
Ang Ulan na Naging Kaibigan ng Lupa,Pabula,Long
Ang Batang Magsasaka at ang Gintong Bunga,Kwentong Bayan,Long
Ang mga Magka-kaibigan sa Likod ng Buwan,Pabula,Long
Ang Pagsasama ng Hangin at ng Apoy,Pabula,Long
Alamat ng Bulaklak na Naging Diyosa,Alamat,Long
Alamat ng Lawa na may Gintong Isda,Alamat,Long
Alamat ng mga Alon na Nagdadala ng Mensahe,Alamat,Long
Alamat ng mga Bituin na Nagdadala ng Swerte,Alamat,Long
Alamat ng Bundok na Nagtatago ng Yaman,Alamat,Long
Alamat ng mga Ulap na Nagsasalita,Alamat,Long
Alamat ng Puno ng mga Pangarap,Alamat,Long
Alamat ng Bituin na Naging Liwanag ng Pag-ibig,Alamat,Long
Si Itay at ang Malalim na Balon,Kwentong Bayan,Long
Si Liwanag at ang mga Aninong Nawawala,Pabula,Long
Ang Alamat ng Bundok na Naglalakad,Alamat,Long
Si Aling Puring at ang Hiyas ng Kuweba,Kwentong Bayan,Long
Ang Mahiwagang Pamana ng Matandang Parola,Kwentong Bayan,Long
Si Malaya at ang Agila ng Karunungan,Kwentong Bayan,Long
Ang Kuwento ng Nawawalang Isla sa Alapaap,Pabula,Long
Si Ilog at ang Araw na Hindi Lumubog,Pabula,Long
Ang Lihim ng Puno ng Kawayan na Umiiyak,Kwentong Bayan,Long
Si Sita at ang Palasyo sa Gitna ng Kagubatan,Kwentong Bayan,Long
Ang Alamat ng Pangarap na Nabuhay,Alamat,Long
Si Bernardo at ang Kalabaw na Tumatawid ng Ilog,Kwentong Bayan,Long
Ang Alamat ng Nagniningning na Gubat,Alamat,Long
Si Amang Gubat at ang mga Puno ng Kalikasan,Pabula,Long
Ang Lihim ng Palasyo sa Ilalim ng Bulkan,Pabula,Long
Si Rosa at ang Mahiwagang Palasyo ng Hangin,Kwentong Bayan,Long
Ang Kuwento ng Ulan na Hindi Tumitigil,Kwentong Bayan,Long
Si Kalikasan at ang Araw ng Walang Hanggan,Pabula,Long
Ang Alamat ng Isang Libong Kawayan,Alamat,Long
Si Delfin at ang Bahagharing Naglaho,Pabula,Long
Ang Mahiwagang Lawa ng mga Bituin,Kwentong Bayan,Long
Ang Nawalang Hiyas,Kwentong Bayan,Long
Si Juan at ang Puno,Kwentong Bayan,Long
Ang Ahas na Puno,Pabula,Long
Si Pedro at ang Bituin,Kwentong Bayan,Long
Ang Mahiwagang Isla,Kwentong Bayan,Long
Si Lola at ang Oras,Kwentong Bayan,Long
Ang Bundok na Buhay,Kwentong Bayan,Long
Si Diwata at ang Gabi,Pabula,Long
Ang Alamat ng Liwanag,Alamat,Long
Si Bayani at ang Anino,Kwentong Bayan,Long
Ang Alitaptap at Buwan,Pabula,Long
Si Lolo at ang Kalabaw,Kwentong Bayan,Long
Ang Mahiwagang Gintong Dahon,Kwentong Bayan,Long
Si Lola at ang Ulan,Kwentong Bayan,Long
Ang Alamat ng Pusong Bato,Alamat,Long
Pambihirang Likha,Kwentong Bayan,Long
Ang Tusong Ahas,Pabula,Long
Ang Matalas na mga Mata ni Agila,Pabula,Long
Tuksuhing si Pating,Pabula,Long
Ang Manghuhula sa Tabi ng Simbahan,Kwentong Bayan,Long
Ang Kakaibang Paglalakad ni Alimango,Pabula,Long
Hari ng Karagatan,Pabula,Long
Bawat Pagkakaiba sa Aming Silid-Aralan,Kwentong Bayan,Long
Ang Malamyang Kambing,Pabula,Long
Ang Mahiwagang Balon sa Bakuran,Kwentong Bayan,Long
Ang Tirahan ni Sisiw at Munting Palaka,Pabula,Long
Sa Huling Araw ng Klase,Kwentong Bayan,Long
Muling Pagkikita ng Magkakaibigan,Kwentong Bayan,Long
Pagaspas sa Kabilugan ng Buwan,Pabula,Long
Ang Mga Kapatid ni Oso,Pabula,Long
Ang Pusa at ang Talinghaga ng Bituin,Pabula,Long
Ang Mahiwagang Dahon ng Puno,Kwentong Bayan,Long
Ang Kuneho na Naglakbay sa Mundo ng mga Pangarap,Pabula,Long
Ang Makulay na Ulan,Kwentong Bayan,Long
Ang Hiwaga ng Kabilang Buwan,Kwentong Bayan,Long
Ang Batang Magsasaka at ang Matamis na Ubas,Kwentong Bayan,Long
Si Aling Nena at ang Pagsasaka ng mga Pangarap,Kwentong Bayan,Long
Ang Alitaptap na Nagturo ng Liwanag,Pabula,Long
Ang Lihim ng Bahay na Bato sa dulo ng Nayon,Kwentong Bayan,Long
Si Liwanag at ang mga Kaibigan sa Gabi,Kwentong Bayan,Long
Bakit Iba-iba ang Hugis ng mga Ulap,Kwentong Bayan,Long
Ang Duwende sa dulo ng Bahaghari,Kwentong Bayan,Long
Kwento ni Aling Liza at ang mga Matamis na Prutas,Kwentong Bayan,Long
Ang Hiwaga ng Mahiwagang Hardin,Kwentong Bayan,Long
Alamat ng Puno na Nagbigay ng Kayamanan sa mga Tao,Alamat,Long
Si Maya at ang Pagsasayaw ng mga Alitaptap,Kwentong Bayan,Long
Si Anna at ang Kanyang Mahiwagang Pusa,Kwentong Bayan,Long
Si Ben at ang Lihim ng Gintong Bituin,Kwentong Bayan,Long
Si Jessa at ang Kanyang Paboritong Kuwento,Kwentong Bayan,Long
Si Sam at ang Mahiwagang Kahon ng mga Laro,Kwentong Bayan,Long
Kwentong Walang Pamagat,Kwentong Bayan,Long
Masaganang Kalupaan sa Santa Praxedes,Kwentong Bayan,Long
Atin ang Mundo,Kwentong Bayan,Long
Parang Isang Sirang Plaka,Kwentong Bayan,Long
Pinagtagpo Pero 'Di Tinadhana,Kwentong Bayan,Long
Ang Makulay na Pabo sa Kagubatan,Pabula,Long
Ang Itim na Kuting,Pabula,Long
Kamandag ni Ahas at Gagamba,Pabula,Long
Hukuman sa Kaharian ng mga Hayop sa Kagubatan,Pabula,Long
Ang Ligawin na si Neneng,Kwentong Bayan,Long
Ang Patubig ng Mag-anak na Bibe,Pabula,Long
Prestihiyosong Paaralan sa Kamaynilaan,Kwentong Bayan,Long
Bangayan ng Magkakapatid na Aso,Pabula,Long
Kilo-Kilometrong Paglalakbay,Kwentong Bayan,Long
Sa Ugoy ng Duyan,Kwentong Bayan,Long
Para sa Masa,Kwentong Bayan,Long
Sa Ngalan ng Pagkaibigan ni Marikit at Malakas,Kwentong Bayan,Long
Pag-ulan sa Kamaynilaan,Kwentong Bayan,Long
Tumitigil ang Mundo,Kwentong Bayan,Long
Kwentuhan sa Maghapon,Kwentong Bayan,Long
Si Juan at ang Palasyo,Kwentong Bayan,Long
Ang Nawawalang Kabibe,Pabula,Long
Si Amihan at ang Bahaghari,Kwentong Bayan,Long
Ang Mahiwagang Lupa,Kwentong Bayan,Long
Si Bata at ang Kabundukan,Kwentong Bayan,Long
Ang Munting Prinsesa ng Karagatan,Pabula,Long
Si Aling Pusa at ang Nawawalang Bato,Pabula,Long
Ang Mahiwagang Puno ng Saging,Kwentong Bayan,Long
Si Karla at ang Lihim ng Bundok,Kwentong Bayan,Long
Ang Prinsipe at ang Matandang Alitaptap,Kwentong Bayan,Long
Si Bubuyog at ang Gintong Puno,Pabula,Long
Ang Alamat ng Mapaglarong Hangin,Alamat,Long
Si Tandang at ang Mahiwagang Gulong,Pabula,Long
Ang Kuwento ng Diwatang Bulaklak,Pabula,Long
Si Kiko at ang Ahas na Kaibigan,Kwentong Bayan,Long
Si Juan at ang Puno ng Kamatis,Kwentong Bayan,Long
Ang Mahiwagang Kampana ng Barangay,Kwentong Bayan,Long
Si Lito at ang Alamat ng Gintong Buho,Alamat,Long
Ang Matapang na Uwang at ang Higanteng Uod,Pabula,Long
Si Lola Terya at ang Nawawalang Bahaghari,Kwentong Bayan,Long
Ang Alamat ng Mabait na Kabayo,Alamat,Long
Si Pilo at ang Prinsesa ng Paru-paro,Kwentong Bayan,Long
Ang Puno ng Saging at ang Mga Munting Diwata,Pabula,Long
Si Tomas at ang Engkantadong Lawa,Kwentong Bayan,Long
Ang Mahiwagang Salamin ni Lola,Kwentong Bayan,Long
Ang Nawawalang Korona ni Prinsesa,Kwentong Bayan,Long
Si Bantay at ang Lihim ng Gubat,Pabula,Long
Ang Mahiwagang Alamat ng Bahay Kubo,Alamat,Long
Si Nena at ang Bituin sa Langit,Kwentong Bayan,Long
Ang Kuwento ng Matandang Kawayan,Pabula,Long
Si Dindo at ang Diwatang Ubas,Kwentong Bayan,Long
Ang Alamat ng Pagong at ang Kalabaw,Alamat,Long
Si Kiko at ang Nag-aalab na Ilog,Kwentong Bayan,Long
Ang Alamat ng Bulaklak na Kulay Ginto,Alamat,Long
Si Tinay at ang Masayahing Puno ng Mangga,Pabula,Long
Tugtuging Malamyos,Kwentong Bayan,Long
Ang Kakaibang Mahika,Kwentong Bayan,Long
Huling Araw sa Iskwela,Kwentong Bayan,Long
Boses sa Kurap na Pamamahala sa Kagubatan,Pabula,Long
Nais na Makamit sa Buhay ng Magkakaibigan,Kwentong Bayan,Long
Importansiya ng Malawak na Ugnayan,Pabula,Long
Mala Sinulid na Pasensya ni Tigre,Pabula,Long
Sa Likod ng Makukulay na Personalidad,Kwentong Bayan,Long
Kwento ng Unang Kamyon sa Bayan ng Viejo,Kwentong Bayan,Long
Ang Mga Hayop sa Isang Tagong Isla,Pabula,Long
Ginto't Pilak Namumulaklak,Kwentong Bayan,Long
Ang Matigas na si Salagubang,Pabula,Long
Mala Presong Pamamahala ni Haring Bayawak,Pabula,Long
Ang Kasabihan ng Batang si Pietro,Kwentong Bayan,Long
Makulay na Telenobelang Buhay ni Nieves,Kwentong Bayan,Long
Si Kendra at ang Lihim ng mga Bituin,Kwentong Bayan,Long
Si Paul at ang Kanyang Unang Kola,Kwentong Bayan,Long
Si Javi at ang Mahiwagang Lawa,Kwentong Bayan,Long
Si Kim at ang Kanyang Paboritong Singsing,Kwentong Bayan,Long
Si Rhea at ang Mahiwagang Kahon ng mga Alahas,Kwentong Bayan,Long
Si Aris at ang Kanyang Paboritong Laruang Robot,Kwentong Bayan,Long
Si Trixie at ang Mahiwagang Amulet,Kwentong Bayan,Long
Si Basti at ang Pagsasaka ng mga Gulay,Kwentong Bayan,Long
Si Faye at ang Paglalakbay sa Kabilang Mundo,Kwentong Bayan,Long
Si Zia at ang Kanyang Unang Pagsasayaw,Kwentong Bayan,Long
Si Roy at ang Mahiwagang Timpla ng Tsaa,Kwentong Bayan,Long
Si Bella at ang Kanyang Paboritong Bituin,Kwentong Bayan,Long
Si Daryl at ang Kanyang Unang Kahon ng Sining,Kwentong Bayan,Long
Si Juno at ang Pagsasayaw ng mga Bulaklak,Kwentong Bayan,Long
Si Zander at ang Mahiwagang Kahanginan,Pabula,Long
Si Lira at ang Kanyang Unang Aklat,Kwentong Bayan,Long
Si Tino at ang Lihim ng Mahiwagang Hardin,Kwentong Bayan,Long
Si Lila at ang Kanyang Mahiwagang Kubo,Kwentong Bayan,Long
Si Kiko at ang Paglalakbay sa Kabilang Dako,Kwentong Bayan,Long
Si Rina at ang Kwento ng mga Kaibigan,Kwentong Bayan,Long
Si Jay at ang Mahiwagang Pusa ni Lola,Pabula,Long
Si Rocco at ang Mahiwagang Dahon,Pabula,Long
Si Timo at ang Pagsasakay sa Ulap,Kwentong Bayan,Long
Ang Lihim ng Mahiwagang Lobo,Pabula,Long
Si Niko at ang Kanyang Makulay na Mundo,Pabula,Long
Ang Mahiwagang Bituin ni Tessa,Kwentong Bayan,Long
Si Lila at ang Pagsasayaw sa Ulan,Kwentong Bayan,Long
Si Gino at ang Kanyang Kakaibang Buhay,Kwentong Bayan,Long
Ang Mahiwagang Damit ni Pina,Kwentong Bayan,Long
Si Yumi at ang Lihim ng mga Alon,Pabula,Long
Kuwento ni Tino tungkol sa Pagsasaka,Kwentong Bayan,Long
Ang Pakikipagsapalaran ni Kito sa Kakahuyan,Pabula,Long
Si Rina at ang Mahiwagang Kubo ng mga Alitaptap,Pabula,Long
Ang Mahiwagang Puno ni Bella,Kwentong Bayan,Long
Ang Paglalakbay ni Miko sa Bundok,Kwentong Bayan,Long
Kuwento ni Rocco at ang Mahiwagang Buwan,Kwentong Bayan,Long
Ang Ugat na Naglakad,Pabula,Long
Ang Paboritong Kumot ni Totoy,Kwentong Bayan,Long
Si Aya at ang kanyang Payong na Nakakalipad,Kwentong Bayan,Long
Ang Bayaning Aso,Alamat,Long
Ang Panulat na Nagsusulat Mag-isa,Pabula,Long
Ang Tuwalya ni Betong,Kwentong Bayan,Long
Ang Libro na Nagsasalita,Pabula,Long
Si Neneng at ang Paborito nyang Baso,Kwentong Bayan,Long
Ang Araw na Ayaw Magpahinga,Kwentong Bayan,Long
Ang Guhit sa Buhay ni Lila,Kwentong Bayan,Long
Si Pipo at ang Pagsasama ng mga Kakaibang Hayop,Pabula,Long
Ang Kuwento ng Bituin na Nahulog sa Kalangitan,Kwentong Bayan,Long
Ang Buwan na Nagbigay Liwanag kay Nino,Kwentong Bayan,Long
Ang Pangarap ni Maya Maka-apak sa Ulap,Kwentong Bayan,Long
Ang Statwa sa Gitna ng Gubat,Alamat,Long
Ang Nagsasalitang Ibon ni Pedro,Pabula,Long
Ang mga Uod na Mahilig sa Ulan,Pabula,Long
Ang Bituin-dagat na Tinangay ng Alon,Pabula,Long
Ang Matalbog na Bola ni Jomar,Kwentong Bayan,Long
Si Lira na Mahilig sa Sorbetes,Kwentong Bayan,Long
Ang Nag-iisang Lata ni Timo,Kwentong Bayan,Long
Ang Kubo ng Lola ni Aya,Kwentong Bayan,Long
Ang Pusang Patalon-talon sa mga Bubong,Kwentong Bayan,Long
Si Rina na Laging Naglilinis,Kwentong Bayan,Long
Si Tessa na Laging Nakadungaw sa Kanyang Bintana,Kwentong Bayan,Long
Ang Kaban ng Kayamanan ni Lolo,Kwentong Bayan,Long
Ang Naliligaw na Nyebe sa Tag-init,Kwentong Bayan,Long
Si Miko at ang Kanyang Kwarto na Puno ng Basura,Kwentong Bayan,Long
Ang Kuwento ng Pusa na laging Nagtatago,Kwentong Bayan,Long
Ang Kwintas na Perlas ni Lola,Kwentong Bayan,Long
Si Totoy na Ayaw Tumigil sa Pagtakbo,Kwentong Bayan,Long
Si Ian at ang Kanyang Hilig sa Pagpinta,Kwentong Bayan,Long
Si Mark na Ayaw Lumabas ng Kanilang Bahay,Kwentong Bayan,Long
Si Leo na Ayaw Itigil ang Pag-inom ng Kola,Kwentong Bayan,Long
Ang Alamat ng Pagong at ang Kawayan,Alamat,Short
Ang Matalinong Uwang at ang Gutom na Palaka,Pabula,Short
Ang Batang May Ginintuang Boses,Kwentong Bayan,Short
Ang Magkaibigang Daga at Alitaptap,Pabula,Short
Ang Prinsesa at ang Nawawalang Kuwintas,Kwentong Bayan,Short
Ang Aso at ang Mga Bituin,Pabula,Short
Ang Mahiwagang Pluma,Kwentong Bayan,Short
Ang Alamat ng Paruparo,Alamat,Short
Ang Kwento ng Dalawang Matsing,Pabula,Short
Ang Alamat ng Bahaghari,Alamat,Short
Ang Nagpalit ng Kaligayahan,Kwentong Bayan,Short
"Ang Magkakaibigang Hangin, Apoy, at Tubig",Pabula,Short
Ang Araw at ang Buwan,Alamat,Short
Ang Mahiwagang Hardin,Kwentong Bayan,Short
 Ang Alamat ng Mga Kulay ng Dahon,Alamat,Short
Ang Prinsesa at ang Isang Salita,Kwentong Bayan,Short
Ang Kwento ng Nawawalang Orasan,Kwentong Bayan,Short
Ang Kabayo at ang Mahiwagang Karwahe,Pabula,Short
Ang Alamat ng Kidlat at Kulog,Alamat,Short
Ang Munting Puno ng Pino,Pabula,Short
Si Pepe at ang Nawawalang Susi,Kwentong Bayan,Long
Ang Mahiwagang Payong ni Lolo,Kwentong Bayan,Long
Si Mara at ang Prinsipeng Isda,Pabula,Long
Ang Alamat ng Makulay na Bahaghari,Alamat,Long
Si Tisoy at ang Mahiwagang Kariton,Pabula,Long
Ang Kuwento ng Munting Pagong at ang Palaka,Pabula,Long
Si Ambo at ang Diwata ng Gubat,Pabula,Long
Ang Alamat ng Tatlong Maliliit na Alitaptap,Alamat,Long
Si Tina at ang Mahiwagang Rosas,Pabula,Long
Ang Alamat ng Matandang Bato,Alamat,Long
Si Sita at ang Mahiwagang Batis,Kwentong Bayan,Long
Ang Kuwento ng Uwak at ang Pagong,Pabula,Long
Si Boyet at ang Prinsesang Araw,Kwentong Bayan,Long
Ang Alamat ng Bundok na Umiiyak,Alamat,Long
Si Kara at ang Lumilipad na Bangka,Kwentong Bayan,Long
Ang Kuwento ng Isang Munting Diwata,Kwentong Bayan,Long
Si Pilar at ang Lihim ng Bahaghari,Kwentong Bayan,Long
Ang Mahiwagang Halamang Ubas,Kwentong Bayan,Long
Si Andres at ang Higanteng Puno,Kwentong Bayan,Long
Ang Alamat ng Nawawalang Bituin,Alamat,Long
Si Lita at ang Mahiwagang Bulaklak,Kwentong Bayan,Long
Ang Alamat ng Lumilipad na Bato,Alamat,Long
Si Pedro at ang Prinsesang Buwan,Kwentong Bayan,Long
Ang Kuwento ng Nawawalang Alitaptap,Pabula,Long
Si Mingming at ang Kabayong Ginto,Pabula,Long
Ang Mahiwagang Biyulin ni Tiyo Kaloy,Kwentong Bayan,Long
Si Narding at ang Diwata ng Gubat,Kwentong Bayan,Long
Ang Alamat ng Itim na Paru-paro,Alamat,Long
Si Juanito at ang Lihim ng Dagat,Kwentong Bayan,Long
Ang Kuwento ng Mga Nag-aaway na Bituin,Pabula,Long
Si Pilar at ang Prinsipe ng Hangin,Kwentong Bayan,Long
Ang Alamat ng Kulay Rosas na Ulap,Alamat,Long
Si Tomas at ang Mahiwagang Sagingan,Kwentong Bayan,Long
Ang Kuwento ng Aso at ang Masayahing Kalabaw,Pabula,Long
Si Mara at ang Munting Diwata ng Kagubatan,Kwentong Bayan,Long
Ang Bagong Kalaro ni Banjo,Pabula,Long
Ang Batang Ayaw Magbahagi,Kwentong Bayan,Long
Lalagyan ng Lapis ni Nena,Kwentong Bayan,Long
Si Liro na Mahilig Maglaro,Kwentong Bayan,Long
Ang Pagbabago ni Mang Juan,Kwentong Bayan,Long
Ang Araw na Naging Matapat ang Sinungaling,Kwentong Bayan,Long
Ang Karma ni Kaloy,Kwentong Bayan,Long
Ang Hardin na Nagluksa,Kwentong Bayan,Long
Ang Palaka at ang Kabute,Pabula,Long
Ang Kulay ng Pagsisikap,Kwentong Bayan,Long
Ang Alitaptap na Nawalan ng Ningning,Pabula,Long
Ang Mahiwagang Singsing,Kwentong Bayan,Long
Ang Kabayaran ng Pagkalat ng Basura,Kwentong Bayan,Long
Ang Tamad na Langgam,Pabula,Long
Pagharap sa Dilim,Kwentong Bayan,Long
Ang Pagkakaibigan na Hindi Inaasahan,Pabula,Long
Ang Masayahing Tindera,Kwentong Bayan,Long
Ang Kuwento ni Boyong at ng Kawayan,Kwentong Bayan,Long
Ang Nawawalang Pera ni Rico,Kwentong Bayan,Long
